method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.9818840579710145,0.8260869565217391,0.1557971014492754,0.1431159420289855,0.16908212560386474,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.9818840579710145,1.0,-0.018115942028985477,-0.022342995169082124,-0.013888888888888888,2.5979218776228663e-14,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.9818840579710145,0.8342391304347826,0.14764492753623193,0.13495621980676328,0.16032608695652173,0.0,True,,mcnemar
