method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v,textworld,noisy,0,0.9912,"[0.984, 0.997]",0.9912,0.0088,,449.0162,,0.3539,,0.0441,0.0062
slm_only,textworld,noisy,0,0.6372,"[0.600, 0.671]",0.6372,0.3628,,12.4248,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,621.2389,,1.0000,,,
entropy_router,textworld,noisy,0,0.6372,"[0.600, 0.671]",0.6372,0.3628,,12.4248,,0.0000,,,
r2v,textworld,noisy,0,0.9912,"[0.984, 0.997]",,,,449.0162,,0.3539,,,
slm_only,textworld,noisy,0,0.6372,"[0.600, 0.671]",,,,12.4248,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,621.2389,,1.0000,,,
entropy_router,textworld,noisy,0,0.6372,"[0.600, 0.671]",,,,12.4248,,0.0000,,,
