timestamp,category,variant,benchmark,model,split,method,seed,success_rate,success_rate_ci_low,success_rate_ci_high,worst_seed_sr,cvar_failure,avg_cost,llm_call_rate,ece,brier,alpha,epsilon,bundle_path
2026-04-26T16:05:28.618722,cvar_sweep,alpha_0_10_eps_0_10,all,all,test,slm_only,0,0.8260869565217391,0.8134057971014492,0.8387681159420289,0.8260869565217391,0.17391304347826086,66.04347826086956,0.0,,,0.1,0.1,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_10/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.618726,cvar_sweep,alpha_0_10_eps_0_10,all,all,test,llm_only,0,1.0,1.0,1.0,1.0,0.0,3302.1739130434785,1.0,,,0.1,0.1,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_10/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.618729,cvar_sweep,alpha_0_10_eps_0_10,all,all,test,entropy_router,0,0.8342391304347826,0.8218599033816425,0.8469278381642512,0.8342391304347826,0.1657608695652174,70.68900966183575,0.0016041425981655289,,,0.1,0.1,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_10/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.642906,cvar_sweep,alpha_0_10_eps_0_20,all,all,test,r2v,0,0.8260869565217391,0.8134057971014492,0.8387681159420289,0.8260869565217391,0.17391304347826086,66.04347826086956,0.0,0.11318512494375439,0.2403716991342125,0.1,0.2,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_20/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.642917,cvar_sweep,alpha_0_10_eps_0_20,all,all,test,slm_only,0,0.8260869565217391,0.8134057971014492,0.8387681159420289,0.8260869565217391,0.17391304347826086,66.04347826086956,0.0,,,0.1,0.2,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_20/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.642920,cvar_sweep,alpha_0_10_eps_0_20,all,all,test,llm_only,0,1.0,1.0,1.0,1.0,0.0,3302.1739130434785,1.0,,,0.1,0.2,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_20/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.642923,cvar_sweep,alpha_0_10_eps_0_20,all,all,test,entropy_router,0,0.8342391304347826,0.8218599033816425,0.8469278381642512,0.8342391304347826,0.1657608695652174,70.68900966183575,0.0016041425981655289,,,0.1,0.2,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_20/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.667567,cvar_sweep,alpha_0_10_eps_0_30,all,all,test,r2v,0,0.9586352657004831,0.9513888888888888,0.9652777777777778,0.9586352657004831,0.041364734299516925,244.23067632850243,0.0728980271071136,0.1021163832975595,0.2614571547461393,0.1,0.3,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_30/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.667592,cvar_sweep,alpha_0_10_eps_0_30,all,all,test,slm_only,0,0.8260869565217391,0.8134057971014492,0.8387681159420289,0.8260869565217391,0.17391304347826086,66.04347826086956,0.0,,,0.1,0.3,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_30/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.667602,cvar_sweep,alpha_0_10_eps_0_30,all,all,test,llm_only,0,1.0,1.0,1.0,1.0,0.0,3302.1739130434785,1.0,,,0.1,0.3,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_30/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.667609,cvar_sweep,alpha_0_10_eps_0_30,all,all,test,entropy_router,0,0.8342391304347826,0.8218599033816425,0.8469278381642512,0.8342391304347826,0.1657608695652174,70.68900966183575,0.0016041425981655289,,,0.1,0.3,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_30/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.694208,cvar_sweep,alpha_0_10_eps_0_40,all,all,test,r2v,0,0.9586352657004831,0.9513888888888888,0.9652777777777778,0.9586352657004831,0.041364734299516925,244.23067632850243,0.0728980271071136,0.1034331627024027,0.26180246482854075,0.1,0.4,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_40/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.694231,cvar_sweep,alpha_0_10_eps_0_40,all,all,test,slm_only,0,0.8260869565217391,0.8134057971014492,0.8387681159420289,0.8260869565217391,0.17391304347826086,66.04347826086956,0.0,,,0.1,0.4,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_40/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.694239,cvar_sweep,alpha_0_10_eps_0_40,all,all,test,llm_only,0,1.0,1.0,1.0,1.0,0.0,3302.1739130434785,1.0,,,0.1,0.4,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_40/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.694245,cvar_sweep,alpha_0_10_eps_0_40,all,all,test,entropy_router,0,0.8342391304347826,0.8218599033816425,0.8469278381642512,0.8342391304347826,0.1657608695652174,70.68900966183575,0.0016041425981655289,,,0.1,0.4,results/paper_experiments/cvar_sweep/alpha_0_10_eps_0_40/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.723838,cvar_sweep,alpha_0_15_eps_0_05,all,all,test,r2v,0,0.8260869565217391,0.8134057971014492,0.8387681159420289,0.8260869565217391,0.17391304347826086,66.04347826086956,0.0,0.11059414634953996,0.23897822611729141,0.15,0.05,results/paper_experiments/cvar_sweep/alpha_0_15_eps_0_05/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.723851,cvar_sweep,alpha_0_15_eps_0_05,all,all,test,slm_only,0,0.8260869565217391,0.8134057971014492,0.8387681159420289,0.8260869565217391,0.17391304347826086,66.04347826086956,0.0,,,0.15,0.05,results/paper_experiments/cvar_sweep/alpha_0_15_eps_0_05/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.723857,cvar_sweep,alpha_0_15_eps_0_05,all,all,test,llm_only,0,1.0,1.0,1.0,1.0,0.0,3302.1739130434785,1.0,,,0.15,0.05,results/paper_experiments/cvar_sweep/alpha_0_15_eps_0_05/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.723859,cvar_sweep,alpha_0_15_eps_0_05,all,all,test,entropy_router,0,0.8342391304347826,0.8218599033816425,0.8469278381642512,0.8342391304347826,0.1657608695652174,70.68900966183575,0.0016041425981655289,,,0.15,0.05,results/paper_experiments/cvar_sweep/alpha_0_15_eps_0_05/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.751564,cvar_sweep,alpha_0_15_eps_0_10,all,all,test,r2v,0,0.8260869565217391,0.8134057971014492,0.8387681159420289,0.8260869565217391,0.17391304347826086,66.04347826086956,0.0,0.12260930353120739,0.24001572139008778,0.15,0.1,results/paper_experiments/cvar_sweep/alpha_0_15_eps_0_10/structured_results/eval_unknown_noisy_2026-04-26.json
2026-04-26T16:05:28.751574,cvar_sweep,alpha_0_15_eps_0_10,all,all,test,slm_only,0,0.8260869565217391,0.8134057971014492,0.8387681159420289,0.8260869565217391,0.17391304347826086,66.04347826086956,0.0,,,0.15,0.1,results/paper_experiments/cvar_sweep/alpha_0_15_eps_0_10/structured_results/eval_unknown_noisy_2026-04-26.json
