method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.9545454545454546,0.8338668373879642,0.1206786171574904,0.1088348271446863,0.13252240717029448,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.9545454545454546,1.0,-0.045454545454545414,-0.0528169014084507,-0.03808418693982075,0.0,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.9545454545454546,0.8895646606914213,0.06498079385403333,0.05377720870678617,0.07714468629961588,0.0,True,,mcnemar
