method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.991243961352657,0.8260869565217391,0.1651570048309179,0.15157004830917875,0.17755132850241545,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.991243961352657,1.0,-0.008756038647342979,-0.01177536231884058,-0.006038647342995169,1.9985815080669767e-07,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.991243961352657,0.8342391304347826,0.15700483091787443,0.14402173913043478,0.16968599033816426,0.0,True,,mcnemar
