method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v,textworld,noisy,0,0.9897,"[0.981, 0.996]",0.9897,0.0103,,448.5826,,0.3535,,0.0493,0.0117
slm_only,textworld,noisy,0,0.6357,"[0.603, 0.670]",0.6357,0.3643,,12.4248,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,621.2389,,1.0000,,,
entropy_router,textworld,noisy,0,0.6593,"[0.627, 0.692]",0.6593,0.3407,,14.0870,,0.0022,,,
r2v,textworld,noisy,0,0.9897,"[0.981, 0.996]",,,,448.5826,,0.3535,,,
slm_only,textworld,noisy,0,0.6357,"[0.603, 0.670]",,,,12.4248,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,621.2389,,1.0000,,,
entropy_router,textworld,noisy,0,0.6593,"[0.627, 0.692]",,,,14.0870,,0.0022,,,
