method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.9526248399487837,0.8338668373879642,0.11875800256081948,0.10659411011523688,0.13060179257362356,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.9526248399487837,1.0,-0.047375160051216336,-0.05505761843790013,-0.03969270166453265,0.0,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.9526248399487837,0.8895646606914213,0.0630601792573624,0.051856594110115235,0.07491197183098591,0.0,True,,mcnemar
