method,benchmark,condition,seed,success_rate,success_rate_ci,worst_seed_sr,cvar_failure,bottom_10_sr,avg_cost,avg_latency,llm_call_rate,safety_failure_rate,ece,brier
r2v,textworld,noisy,0,0.9897,"[0.981, 0.996]",0.9897,0.0103,,449.0162,,0.3539,,0.0516,0.0117
slm_only,textworld,noisy,0,0.6357,"[0.603, 0.670]",0.6357,0.3643,,12.4248,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",1.0000,0.0000,,621.2389,,1.0000,,,
entropy_router,textworld,noisy,0,0.6622,"[0.630, 0.695]",0.6622,0.3378,,14.2316,,0.0023,,,
r2v,textworld,noisy,0,0.9897,"[0.981, 0.996]",,,,449.0162,,0.3539,,,
slm_only,textworld,noisy,0,0.6357,"[0.603, 0.670]",,,,12.4248,,0.0000,,,
llm_only,textworld,noisy,0,1.0000,"[1.000, 1.000]",,,,621.2389,,1.0000,,,
entropy_router,textworld,noisy,0,0.6622,"[0.630, 0.695]",,,,14.2316,,0.0023,,,
