method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,textworld,noisy,success_rate,0.9896755162241888,0.6356932153392331,0.35398230088495575,0.3185840707964602,0.39085545722713866,0.0,True,,mcnemar
r2v,llm_only,textworld,noisy,success_rate,0.9896755162241888,1.0,-0.010324483775811188,-0.017699115044247787,-0.0029498525073746312,0.015625,True,,mcnemar
r2v,entropy_router,textworld,noisy,success_rate,0.9896755162241888,0.6622418879056047,0.32743362831858414,0.2920353982300885,0.3628687315634218,0.0,True,,mcnemar
