method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.9529449423815621,0.8338668373879642,0.11907810499359794,0.10691421254801536,0.13092189500640206,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.9529449423815621,1.0,-0.04705505761843787,-0.0544254161331626,-0.03937259923175416,0.0,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.9529449423815621,0.8895646606914213,0.06338028169014087,0.05248879641485276,0.07554417413572344,0.0,True,,mcnemar
