method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.9727912932138284,0.8338668373879642,0.1389244558258642,0.12708066581306018,0.15076824583866838,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.9727912932138284,1.0,-0.0272087067861716,-0.03297055057618438,-0.02176696542893726,0.0,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.9727912932138284,0.8895646606914213,0.08322663252240714,0.07297535211267607,0.0941101152368758,0.0,True,,mcnemar
