method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.9775928297055058,0.8338668373879642,0.14372599231754157,0.13187419974391806,0.15620998719590268,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.9775928297055058,1.0,-0.02240717029449424,-0.028169014084507043,-0.017285531370038413,1.1102230246251565e-16,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.9775928297055058,0.8895646606914213,0.0880281690140845,0.07746478873239436,0.09827944942381561,0.0,True,,mcnemar
