method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.9918478260869565,0.8260869565217391,0.1657608695652174,0.1524682971014493,0.17844202898550723,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.9918478260869565,1.0,-0.008152173913043459,-0.011473429951690822,-0.005434782608695652,5.623957756162312e-07,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.9918478260869565,0.8342391304347826,0.15760869565217395,0.14491998792270533,0.16998792270531402,0.0,True,,mcnemar
