method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.1,slm_only,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.1,llm_only,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.1,entropy_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.1,oracle_router,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.1,heuristic_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.1,verifier_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.2,slm_only,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.2,llm_only,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.2,entropy_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.2,oracle_router,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.2,heuristic_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.2,verifier_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.3,slm_only,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.3,llm_only,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.3,entropy_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.3,oracle_router,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.3,heuristic_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.3,verifier_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.4,slm_only,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.4,llm_only,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.4,entropy_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.4,oracle_router,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.4,heuristic_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.4,verifier_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.5,slm_only,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.5,llm_only,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.5,entropy_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.5,oracle_router,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.5,heuristic_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.5,verifier_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.6,slm_only,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.6,llm_only,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.6,entropy_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.6,oracle_router,textworld,noisy,success_rate,0.9910714285714286,1.0,-0.008928571428571397,-0.020833333333333332,0.0,0.25,False,,mcnemar
r2v@0.6,heuristic_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.6,verifier_router,textworld,noisy,success_rate,0.9910714285714286,0.6428571428571429,0.3482142857142857,0.29464285714285715,0.39880952380952384,0.0,True,,mcnemar
r2v@0.7,slm_only,textworld,noisy,success_rate,0.7321428571428571,0.6428571428571429,0.08928571428571419,0.05654761904761905,0.11904761904761904,1.192436684949172e-07,True,,mcnemar
r2v@0.7,llm_only,textworld,noisy,success_rate,0.7321428571428571,1.0,-0.2678571428571429,-0.3125,-0.22313988095238102,0.0,True,,mcnemar
r2v@0.7,entropy_router,textworld,noisy,success_rate,0.7321428571428571,0.6428571428571429,0.08928571428571419,0.05654761904761905,0.11904761904761904,1.192436684949172e-07,True,,mcnemar
r2v@0.7,oracle_router,textworld,noisy,success_rate,0.7321428571428571,1.0,-0.2678571428571429,-0.3125,-0.22313988095238102,0.0,True,,mcnemar
r2v@0.7,heuristic_router,textworld,noisy,success_rate,0.7321428571428571,0.6428571428571429,0.08928571428571419,0.05654761904761905,0.11904761904761904,1.192436684949172e-07,True,,mcnemar
r2v@0.7,verifier_router,textworld,noisy,success_rate,0.7321428571428571,0.6428571428571429,0.08928571428571419,0.05654761904761905,0.11904761904761904,1.192436684949172e-07,True,,mcnemar
r2v@0.8,slm_only,textworld,noisy,success_rate,0.6904761904761905,0.6428571428571429,0.04761904761904756,0.023809523809523808,0.07142857142857142,3.0517578125e-05,True,,mcnemar
r2v@0.8,llm_only,textworld,noisy,success_rate,0.6904761904761905,1.0,-0.30952380952380953,-0.35714285714285715,-0.2588541666666668,0.0,True,,mcnemar
r2v@0.8,entropy_router,textworld,noisy,success_rate,0.6904761904761905,0.6428571428571429,0.04761904761904756,0.023809523809523808,0.07142857142857142,3.0517578125e-05,True,,mcnemar
r2v@0.8,oracle_router,textworld,noisy,success_rate,0.6904761904761905,1.0,-0.30952380952380953,-0.35714285714285715,-0.2588541666666668,0.0,True,,mcnemar
r2v@0.8,heuristic_router,textworld,noisy,success_rate,0.6904761904761905,0.6428571428571429,0.04761904761904756,0.023809523809523808,0.07142857142857142,3.0517578125e-05,True,,mcnemar
r2v@0.8,verifier_router,textworld,noisy,success_rate,0.6904761904761905,0.6428571428571429,0.04761904761904756,0.023809523809523808,0.07142857142857142,3.0517578125e-05,True,,mcnemar
