method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.9864130434782609,0.8260869565217391,0.16032608695652173,0.14703351449275362,0.17331672705314008,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.9864130434782609,1.0,-0.013586956521739135,-0.017512077294685992,-0.009963768115942028,5.412159609363698e-11,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.9864130434782609,0.8342391304347826,0.15217391304347827,0.13918327294685992,0.16545893719806765,0.0,True,,mcnemar
