method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.9814340588988476,0.8338668373879642,0.14756722151088342,0.1357234314980794,0.16005121638924455,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.9814340588988476,1.0,-0.018565941101152394,-0.023367477592829707,-0.014084507042253521,7.183142969324763e-14,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.9814340588988476,0.8895646606914213,0.09186939820742634,0.08130601792573623,0.10307298335467349,0.0,True,,mcnemar
