method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v,slm_only,unknown,noisy,success_rate,0.9638284250960307,0.8338668373879642,0.12996158770806654,0.11843790012804098,0.14180537772087068,0.0,True,,mcnemar
r2v,llm_only,unknown,noisy,success_rate,0.9638284250960307,1.0,-0.03617157490396927,-0.04289372599231754,-0.029441421254801547,0.0,True,,mcnemar
r2v,entropy_router,unknown,noisy,success_rate,0.9638284250960307,0.8895646606914213,0.07426376440460947,0.06338028169014084,0.08610755441741358,0.0,True,,mcnemar
