method_a,method_b,benchmark,condition,metric,value_a,value_b,difference,ci_lower,ci_upper,p_value,significant,effect_size,test_name
r2v@0.7,llm_only,textworld,noisy,success_rate,0.6845238095238095,1.0,-0.31547619047619047,-0.3630952380952381,-0.2648809523809524,0.0,True,,mcnemar
r2v@0.7,entropy_router,textworld,noisy,success_rate,0.6845238095238095,0.6428571428571429,0.04166666666666663,0.020833333333333332,0.06547619047619048,0.0001220703125,True,,mcnemar
r2v@0.7,oracle_router,textworld,noisy,success_rate,0.6845238095238095,1.0,-0.31547619047619047,-0.3630952380952381,-0.2648809523809524,0.0,True,,mcnemar
r2v@0.7,heuristic_router,textworld,noisy,success_rate,0.6845238095238095,0.6428571428571429,0.04166666666666663,0.020833333333333332,0.06547619047619048,0.0001220703125,True,,mcnemar
r2v@0.7,verifier_router,textworld,noisy,success_rate,0.6845238095238095,0.6428571428571429,0.04166666666666663,0.020833333333333332,0.06547619047619048,0.0001220703125,True,,mcnemar
r2v@0.8,slm_only,textworld,noisy,success_rate,0.6726190476190477,0.6428571428571429,0.029761904761904767,0.01488095238095238,0.047619047619047616,0.001953125,True,,mcnemar
r2v@0.8,llm_only,textworld,noisy,success_rate,0.6726190476190477,1.0,-0.32738095238095233,-0.3750744047619047,-0.2767113095238096,0.0,True,,mcnemar
r2v@0.8,entropy_router,textworld,noisy,success_rate,0.6726190476190477,0.6428571428571429,0.029761904761904767,0.01488095238095238,0.047619047619047616,0.001953125,True,,mcnemar
r2v@0.8,oracle_router,textworld,noisy,success_rate,0.6726190476190477,1.0,-0.32738095238095233,-0.3750744047619047,-0.2767113095238096,0.0,True,,mcnemar
r2v@0.8,heuristic_router,textworld,noisy,success_rate,0.6726190476190477,0.6428571428571429,0.029761904761904767,0.01488095238095238,0.047619047619047616,0.001953125,True,,mcnemar
r2v@0.8,verifier_router,textworld,noisy,success_rate,0.6726190476190477,0.6428571428571429,0.029761904761904767,0.01488095238095238,0.047619047619047616,0.001953125,True,,mcnemar
